question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,r1,r2,s,ground_truth
aedc908b-f435-4fb9-aeba-464edda104c7,2.4919496,1.8522011,0.28022552,1.9190915,0.0,0.0,0.0,0.0,2.7677493,2.1243222,0.3730639,2.2002037,0.05399804,0.0,0.0,0.0,1.0,0,0.6931471805599453,5.313697,0
aedc908b-f435-4fb9-aeba-464edda104c7,2.4919496,1.8522011,0.28022552,1.9190915,0.0,0.0,0.0,0.0,2.7677493,2.1243222,0.3730639,2.2002037,0.05399804,0.0,0.0,0.0,1.0,1,0.4054651081081644,5.313697,0
aedc908b-f435-4fb9-aeba-464edda104c7,2.32346,0.0,0.0,0.0,0.16995256,0.0,0.0,0.0,2.3594742,0.0,0.0,0.0,0.05399804,0.0,0.0,0.0,0.33333334,2,0.2876820724517809,4.9068847,0
aedc908b-f435-4fb9-aeba-464edda104c7,2.32346,0.0,0.0,0.0,0.16995256,0.0,0.0,0.0,2.3594742,0.0,0.0,0.0,0.05399804,0.0,0.0,0.0,0.33333334,3,0.22314355131420976,4.9068847,0
aedc908b-f435-4fb9-aeba-464edda104c7,2.04101,0.0,0.0,0.0,0.16995256,0.0,0.0,0.0,2.042197,0.0,0.0,0.0,0.05399804,0.0,0.0,0.0,0.33333334,4,0.18232155679395462,4.3071575,0
aedc908b-f435-4fb9-aeba-464edda104c7,2.04101,0.0,0.0,0.0,0.16995256,0.0,0.0,0.0,2.042197,0.0,0.0,0.0,0.05399804,0.0,0.0,0.0,0.33333334,5,0.1541506798272583,4.3071575,0
aedc908b-f435-4fb9-aeba-464edda104c7,2.012899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1180537,0.0,0.0,0.0,0.05399804,0.0,0.0,0.0,0.33333334,6,0.13353139262452263,4.184951,0
aedc908b-f435-4fb9-aeba-464edda104c7,2.012899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1180537,0.0,0.0,0.0,0.05399804,0.0,0.0,0.0,0.33333334,7,0.11778303565638346,4.184951,0
aedc908b-f435-4fb9-aeba-464edda104c7,1.6516774,0.23788208,0.0,0.36722332,0.16840129,0.0,0.0,0.0,1.5542881,0.2788053,0.0,0.42123538,0.05399804,0.0,0.0,0.0,0.6666667,8,0.1053605156578263,3.4283648,0
aedc908b-f435-4fb9-aeba-464edda104c7,1.6516774,0.23788208,0.0,0.36722332,0.16840129,0.0,0.0,0.0,1.5542881,0.2788053,0.0,0.42123538,0.05399804,0.0,0.0,0.0,0.6666667,9,0.09531017980432487,3.4283648,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,4.2016935,3.8224938,0.99046445,4.1358604,0.0,0.0,0.0,0.0,4.6793346,4.248407,1.2162869,4.585554,0.08695321,0.04048016,0.0,0.04048016,1.0,0,0.6931471805599453,8.967981,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,4.2016935,3.8224938,0.99046445,4.1358604,0.0,0.0,0.0,0.0,4.6793346,4.248407,1.2162869,4.585554,0.08695321,0.04048016,0.0,0.04048016,1.0,1,0.4054651081081644,8.967981,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,3.8802884,2.530917,0.0,2.6437383,0.272348,0.13605934,0.0,0.13605934,3.8817449,2.5110655,0.0,2.598332,0.08695321,0.04048016,0.0,0.04048016,0.6666667,2,0.2876820724517809,8.121334,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,3.8802884,2.530917,0.0,2.6437383,0.272348,0.13605934,0.0,0.13605934,3.8817449,2.5110655,0.0,2.598332,0.08695321,0.04048016,0.0,0.04048016,0.6666667,3,0.22314355131420976,8.121334,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,3.6831815,1.3264718,0.0,1.4577196,0.2773442,0.14105558,0.0,0.14105558,3.6458688,1.1854689,0.0,1.2490647,0.08695321,0.04048016,0.0,0.04048016,0.6666667,4,0.18232155679395462,7.693348,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,3.6831815,1.3264718,0.0,1.4577196,0.2773442,0.14105558,0.0,0.14105558,3.6458688,1.1854689,0.0,1.2490647,0.08695321,0.04048016,0.0,0.04048016,0.6666667,5,0.1541506798272583,7.693348,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,3.63187,1.8089371,0.0,2.0295653,0.27856594,0.1422773,0.0,0.1422773,3.616527,1.6964418,0.0,1.9530195,0.08695321,0.04048016,0.0,0.04048016,0.6666667,6,0.13353139262452263,7.6139164,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,3.63187,1.8089371,0.0,2.0295653,0.27856594,0.1422773,0.0,0.1422773,3.616527,1.6964418,0.0,1.9530195,0.08695321,0.04048016,0.0,0.04048016,0.6666667,7,0.11778303565638346,7.6139164,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,3.620544,2.2159767,0.0,2.3765063,0.0,0.0,0.0,0.0,3.798327,2.3654716,0.0,2.5304794,0.08695321,0.04048016,0.0,0.04048016,0.6666667,8,0.1053605156578263,7.505824,0
10b31cb5-da5c-4b7e-a79e-cfc241012b64,3.620544,2.2159767,0.0,2.3765063,0.0,0.0,0.0,0.0,3.798327,2.3654716,0.0,2.5304794,0.08695321,0.04048016,0.0,0.04048016,0.6666667,9,0.09531017980432487,7.505824,0
f152ad06-dfb1-449b-9dde-1eed5b5a8270,4.389435,2.7373905,0.08170574,2.9628446,0.29815525,0.19180435,0.042820364,0.19180435,4.4465876,2.5865648,0.0,2.8578105,0.0743576,0.03626943,0.0,0.03626943,1.0,0,0.6931471805599453,9.208535,1
f152ad06-dfb1-449b-9dde-1eed5b5a8270,4.389435,2.7373905,0.08170574,2.9628446,0.29815525,0.19180435,0.042820364,0.19180435,4.4465876,2.5865648,0.0,2.8578105,0.0743576,0.03626943,0.0,0.03626943,1.0,1,0.4054651081081644,9.208535,0
f152ad06-dfb1-449b-9dde-1eed5b5a8270,4.274231,3.5335834,0.82845485,3.7468262,0.0,0.0,0.0,0.0,4.7527523,3.9189548,1.0264705,4.1483684,0.0743576,0.03626943,0.0,0.03626943,1.0,2,0.2876820724517809,9.101341,0
f152ad06-dfb1-449b-9dde-1eed5b5a8270,4.274231,3.5335834,0.82845485,3.7468262,0.0,0.0,0.0,0.0,4.7527523,3.9189548,1.0264705,4.1483684,0.0743576,0.03626943,0.0,0.03626943,1.0,3,0.22314355131420976,9.101341,0
f152ad06-dfb1-449b-9dde-1eed5b5a8270,4.274231,3.5335834,0.82845485,3.7468262,0.0,0.0,0.0,0.0,4.7527523,3.9189548,1.0264705,4.1483684,0.0743576,0.03626943,0.0,0.03626943,1.0,4,0.18232155679395462,9.101341,0
f152ad06-dfb1-449b-9dde-1eed5b5a8270,3.612142,1.8594172,0.0,1.9269549,0.0,0.0,0.0,0.0,3.818136,2.0259626,0.0,2.0959873,0.0743576,0.03626943,0.0,0.03626943,0.6666667,5,0.1541506798272583,7.504636,0
f152ad06-dfb1-449b-9dde-1eed5b5a8270,3.612142,1.8594172,0.0,1.9269549,0.0,0.0,0.0,0.0,3.818136,2.0259626,0.0,2.0959873,0.0743576,0.03626943,0.0,0.03626943,0.6666667,6,0.13353139262452263,7.504636,0
